name,avatar,bio,twitter,url,title,abstract,description,notes,audience_level,state,tags,category,lang,track,day,start,end,sponsored
,,,,,Cafe,,,,,,,es,,Hall,07/10/2018,11:00,11:30,
,,,,,Comida,,,,,,,es,,Hall,07/10/2018,13:00,14:30,
,,,,,Cafe,,,,,,,es,,Hall,07/10/2018,16:00,16:30,
,,,,,Cafe,,,,,,,es,,Hall,06/10/2018,11:30,12:00,
,,,,,Comida,,,,,,,es,,Hall,06/10/2018,14:00,15:00,
,,,,,Cafe,,,,,,,es,,Hall,06/10/2018,16:30,17:00,
,,,,,Lightning Talks,,,,,,,es,,Ebury,06/10/2018,18:00,19:00,
,,,,,Asamblea Python España,,,,,,,es,,Ebury,06/10/2018,19:00,19:30,
,,,,,Hackathon PyConES 2018,,,,,,,es,,Ebury,06/10/2018,19:30,22:30,
Lorena Mesa,,,,,Keynote,,,,,,,es,,Ebury,07/10/2018,16:30,17:30,
Héctor Socas-Navarro,,,,,Keynote,,,,,,,es,,Ebury,06/10/2018,9:30,10:20,
Unai,https://papercallio-production.s3.amazonaws.com/uploads/user/avatar/30041/photo_2018-05-16_00-52-23.jpg,"Soy desarrollador python para OrbitalAds y colaborador de PythonAlicante.

Mucho mejor escribiendo código que biografías. Me apasiona la arquitectura software, el software libre y la increible comunidad de informáticas que permite que todo esto funcione de manera abierta.

¡Desarrolladores del mundo, uníos!",Mischievousbyte,,FaaS with no strings attached,"Mejores infraestructuras nos permiten crear nuevas arquitecturas y llevar los microservicios al extremo con las Function As A Service. Hablaremos de su estructura, características y de como disfrutar de sus ventajas sin tener que atarnos a un proveedor","Desde que se empezaron a abandonar las aplicaciones monolíticas la tendencia ha ido hacia una separación en servicios cada vez más pequeños que ofreciesen mejor escalabilidad, separación de responsabilidades y agilidad a la hora de desplegar. Estos últimos años ha aparecido una nueva evolución de estas arquitecturas, las Functions as a Service, que son  piezas de código que escalan de manera automática y reducen los costes ya que no consumen ningún recurso mientras están en reposo.

Como contrapartida este tipo de funciones necesitan una gran infraestuctura a nivel de cantidad de servidores y virtualización que solo unos pocos proveedores de gran tamaño pueden ofrecer. Actualmente los proveedores que disponen de estas infraestructuras imponen unas limitaciones y requisitos como que estén atados a una plataforma privada, el soporte a solo algunos lenguajes o tiempos de ejecución limitados. Estas condiciones pueden dificultar el desarrollo o quitar libertad al producto que depende de un proveedor.

En la charla explicaré el patrón FaaS y las ventajes e inconvenientes de su uso. También hablaré de OpenFaas, una plataforma de código abierto que permite eliminar las dependencias de los proveedores y da total libertad respecto a lenguajes y modo de uso.","## Estructura de la charla

La charla estará dividida en tres partes, la primera una explicación de la arquitectura con Faas, la segunda una explicación de las principales características de OpenFaaS y para terminar una pequeña demo donde se muestren funcionalidades interesantes como la orquestación de funciones asíncronas y triggers.

## Ponente

Soy desarrollador python en la startup OrbitalAds donde he colaborado con la iteración continua de nuestra arquitectura y me he enfrentado a retos de escalado de servicios y orquestación de varias fuentes de datos y microservicios.

Previamente fui desarrollador para Hawkers donde participé en el desarrollo de toda su infraestructura, teniendo así experiencia de primera mano en una empresa que se expandió a todos los continentes y decenas de paises en solo un par de años.

Además participo con la asociación de PythonAlicante como organizador y ponente.
",Intermediate,accepted,"[""python"", ""faas"", ""functions as a service"", ""architecture"", ""devops""]",dev,es,Málaga,06/10/2018,13:00,13:25,
